Decade,Year,Free Lunch(Millions)
1970s,1970,4.6
1970s,1971,5.8
1970s,1972,7.3
1970s,1973,8.1
1970s,1974,8.6
1970s,1975,9.4
1970s,1976,10.2
1970s,1977,10.5
1970s,1978,10.3
1970s,1979,10.0
1980s,1980,10.0
1980s,1981,10.6
1980s,1982,9.8
1980s,1983,10.3
1980s,1984,10.3
1980s,1985,9.9
1980s,1986,10.0
1980s,1987,10.0
1980s,1988,9.8
1980s,1989,9.7
1990s,1990,9.8
1990s,1991,10.3
1990s,1992,11.2
1990s,1993,11.7
1990s,1994,12.2
1990s,1995,12.4
1990s,1996,12.6
1990s,1997,12.9
1990s,1998,13.0
1990s,1999,13.0
2000s,2000,13.0
2000s,2001,12.9
2000s,2002,13.3
2000s,2003,13.7
2000s,2004,14.1
2000s,2005,14.6
2000s,2006,14.8
2000s,2007,15.0
2000s,2008,15.4
2000s,2009,16.3
2010s,2010,17.6
2010s,2011,18.4
2010s,2012,18.7
2010s,2013,18.9
2010s,2014,19.2
2010s,2015,19.8
2010s,2016,20.1
2010s,2017,20.0
