country,description,designation,points,price,taster_name,title,variety,winery
Austria,"Opulent honey and lemon aromas waft from the glass in this superrich but so balanced wine. The acidity is an essential element, cutting through the sweet orange, honey and ginger flavors. A gorgeous wine.",Zwischen den Seen Nummer 9 Trockenbeerenauslese,98,,Roger Voss,Kracher 2008 Zwischen den Seen Nummer 9 Trockenbeerenauslese Welschriesling (Burgenland),Welschriesling,Kracher
Austria,"Muskat Ottonel adds its typical perfume to this smoothly rich wine. It has great density in its rich fruit flavors of apricots, sweet oranges and an exotic edge of rosewater.",Zwischen den Seen Nummer 5 Trockenbeerenauslese,93,,Roger Voss,Kracher 2008 Zwischen den Seen Nummer 5 Trockenbeerenauslese Muskat Ottonel (Burgenland),Muskat Ottonel,Kracher
Austria,"Kracher TBA wines are numbered in ascending order of intensity. Even at this medium level of intensity, this is an impressive wine. It has that fine balance, pushing its rich marmalade and dried apricot flavors right up to intense acidity. The wine is certainly full, but keeps a delicacy and great lightness of touch.",Zwischen den Seen Nummer 4 Trockenbeerenauslese,92,86,Roger Voss,Kracher 2005 Zwischen den Seen Nummer 4 Trockenbeerenauslese Scheurebe (Burgenland),Scheurebe,Kracher
Austria,"There is a great balance between sweetness and acidity in this fine wine. Lemon, lime zest and a twist of orange give an intense freshness, while the honey and marmalade add richness and sweetness. It's a great wine for aging. Drink from 2017.",Zwischen den Seen Nummer 3 Trockenbeerenauslese,92,,Roger Voss,Kracher 2010 Zwischen den Seen Nummer 3 Trockenbeerenauslese Scheurebe (Burgenland),Scheurebe,Kracher
Austria,"Made from Rosenmuskateller (a pink-tinted grape), this wonderfully perfumed wine is such a curiosity that it can only legally be table wine, a super Austrian. There are flavors of rosehip, ginger and a wondrous freshness.",Zwischen den Seen Nummer 3 Kollektion L08A,92,150,Roger Voss,Kracher NV Zwischen den Seen Nummer 3 Kollektion L08A Rosenmuskateller (Austria),Rosenmuskateller,Kracher
Austria,"There is as much perfume as sweetness in this rich, opulent wine. It has an oriental-spice character along with rosewater and honey notes. The wine needs to be aged so drink from 2016.",Zwischen den Seen Nummer 2 Trockenbeerenauslese,90,,Roger Voss,Kracher 2010 Zwischen den Seen Nummer 2 Trockenbeerenauslese Muskat Ottonel (Burgenland),Muskat Ottonel,Kracher
Austria,"Smooth and unctuous wine, rich with an oily texture that coats the mouth with its honey, mango and treacle character. It is so concentrated, just the essence of sweetness. Acidity is there in the final tang of lemon zest.",Zwischen den Seen Nummer 2 Trockenbeerenauslese,91,75,Roger Voss,Kracher 2008 Zwischen den Seen Nummer 2 Trockenbeerenauslese Welschriesling (Burgenland),Welschriesling,Kracher
Austria,"A beautiful wine that is almost like nectar. It has extreme freshness, while the acidity is a wonderful contrast. Such concentrated orange flavors and a smooth texture while there is a great citrus edge.",Zwischen den Seen Nummer 11 Trockenbeerenauslese,97,103,Roger Voss,Kracher 2008 Zwischen den Seen Nummer 11 Trockenbeerenauslese Scheurebe (Burgenland),Scheurebe,Kracher
Austria,"Kracher's sweet Scheurebe is consistently a remarkable wine. It's gorgeously opulent and tightly textured at the same time. Spice, sweetness and acidity combine harmoniously and seamlessly. Age this great wine and don't drink before 2017.",Zwischen den Seen Nummer 10 Trockenbeerenauslese,97,125,Roger Voss,Kracher 2010 Zwischen den Seen Nummer 10 Trockenbeerenauslese Scheurebe (Burgenland),Scheurebe,Kracher
Austria,"This, the first of 12 grades of richness in the Kracher range in 2008, is already an intense wine, with concentrated orange marmalade and honey flavors. What gives it just the right fresh lift is the lemon acidity on the refreshing finish.",Zwischen den Seen Nummer 1 Trockenbeerenauslese,90,84,Roger Voss,Kracher 2008 Zwischen den Seen Nummer 1 Trockenbeerenauslese Scheurebe (Burgenland),Scheurebe,Kracher
