ID,country,designation,points,price,province,taster_name,title,variety,winery
0,Italy,VulkÌÊ Bianco,87,,Sicily & Sardinia,Kerin O‰ÛªKeefe,Nicosia 2013 VulkÌÊ Bianco  (Etna),White Blend,Nicosia
1,Portugal,Avidagos,87,15,Douro,Roger Voss,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos
2,US,,87,14,Oregon,Paul Gregutt,Rainstorm 2013 Pinot Gris (Willamette Valley),Pinot Gris,Rainstorm
3,US,Reserve Late Harvest,87,13,Michigan,Alexander Peartree,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian
4,US,Vintner's Reserve Wild Child Block,87,65,Oregon,Paul Gregutt,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
5,Spain,Ars In Vitro,87,15,Northern Spain,Michael Schachner,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem
6,Italy,Belsito,87,16,Sicily & Sardinia,Kerin O‰ÛªKeefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo
7,France,,87,24,Alsace,Roger Voss,Trimbach 2012 Gewurztraminer (Alsace),GewÌ_rztraminer,Trimbach
8,Germany,Shine,87,12,Rheinhessen,Anna Lee C. Iijima,Heinz Eifel 2013 Shine GewÌ_rztraminer (Rheinhessen),GewÌ_rztraminer,Heinz Eifel
9,France,Les Natures,87,27,Alsace,Roger Voss,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
10,US,Mountain CuvÌ©e,87,19,California,Virginie Boone,Kirkland Signature 2011 Mountain CuvÌ©e Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature
11,France,,87,30,Alsace,Roger Voss,Leon Beyer 2012 Gewurztraminer (Alsace),GewÌ_rztraminer,Leon Beyer
12,US,,87,34,California,Virginie Boone,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini
13,Italy,Rosso,87,,Sicily & Sardinia,Kerin O‰ÛªKeefe,Masseria Setteporte 2012 Rosso  (Etna),Nerello Mascalese,Masseria Setteporte
14,US,,87,12,California,Matt Kettmann,Mirassou 2012 Chardonnay (Central Coast),Chardonnay,Mirassou
15,Germany,Devon,87,24,Mosel,Anna Lee C. Iijima,Richard BÌ¦cking 2013 Devon Riesling (Mosel),Riesling,Richard BÌ¦cking
16,Argentina,Felix,87,30,Other,Michael Schachner,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,Felix Lavaque
17,Argentina,Winemaker Selection,87,13,Mendoza Province,Michael Schachner,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Malbec,Gaucho Andino
18,Spain,Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28,Northern Spain,Michael Schachner,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey
19,US,,87,32,Virginia,Alexander Peartree,QuiÌ©vremont 2012 Meritage (Virginia),Meritage,QuiÌ©vremont
20,US,Vin de Maison,87,23,Virginia,Alexander Peartree,QuiÌ©vremont 2012 Vin de Maison Red (Virginia),Red Blend,QuiÌ©vremont
21,US,,87,20,Oregon,Paul Gregutt,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,Acrobat
22,Italy,Ficiligno,87,19,Sicily & Sardinia,Kerin O‰ÛªKeefe,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto
23,US,Signature Selection,87,22,California,Matt Kettmann,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,Bianchi
24,Italy,Aynat,87,35,Sicily & Sardinia,Kerin O‰ÛªKeefe,CanicattÌÂ 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,CanicattÌÂ
25,US,King Ridge Vineyard,87,69,California,Virginie Boone,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa
26,Italy,Dalila,87,13,Sicily & Sardinia,Kerin O‰ÛªKeefe,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari
27,Italy,,87,10,Sicily & Sardinia,Kerin O‰ÛªKeefe,Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Stemmari
28,Italy,Mascaria Barricato,87,17,Sicily & Sardinia,Kerin O‰ÛªKeefe,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo
29,US,,86,16,California,Virginie Boone,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company
30,France,Nouveau,86,,Beaujolais,Roger Voss,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),Gamay,Domaine de la Madone
31,Italy,CalanÌÂca Nero d'Avola-Merlot,86,,Sicily & Sardinia,,Duca di Salaparuta 2010 CalanÌÂca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Duca di Salaparuta
32,Italy,CalanÌÂca Grillo-Viognier,86,,Sicily & Sardinia,,Duca di Salaparuta 2011 CalanÌÂca Grillo-Viognier White (Sicilia),White Blend,Duca di Salaparuta
33,US,Puma Springs Vineyard,86,50,California,,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve
34,US,,86,20,California,,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Envolve
35,US,Hyland,86,50,Oregon,Paul Gregutt,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath
36,Chile,Estate,86,15,Colchagua Valley,Michael Schachner,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,Estampa
37,Italy,Missoni,86,21,Sicily & Sardinia,,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto
38,Italy,I Tratturi,86,11,Southern Italy,,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,Feudi di San Marzano
39,Italy,Purato Made With Organic Grapes,86,12,Sicily & Sardinia,,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,Feudo di Santa Tresa
40,Italy,,86,17,Sicily & Sardinia,,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,Feudo Montoni
41,US,,86,22,Oregon,Paul Gregutt,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars
42,France,Nouveau,86,9,Beaujolais,Roger Voss,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy
43,US,,86,14,California,,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Robert Hall
44,Chile,,86,9,Maule Valley,Michael Schachner,Sundance 2011 Merlot (Maule Valley),Merlot,Sundance
45,US,#SocialSecret,86,40,Virginia,,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara
46,Italy,Sallier de la Tour,86,13,Sicily & Sardinia,,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,Tasca d'Almerita
47,US,,86,13,California,,The White Knight 2011 Riesling (Lake County),Riesling,The White Knight
48,US,,86,16,Virginia,,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,Trump
49,France,EtÌ© Indien,86,14,Beaujolais,Roger Voss,Vignerons de Bel Air 2011 EtÌ© Indien  (Brouilly),Gamay,Vignerons de Bel Air
50,Italy,Scialo,86,,Sicily & Sardinia,,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Viticultori Associati Canicatti
51,Chile,Gran Reserva,85,22,Colchagua Valley,Michael Schachner,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,Casa Silva
52,Italy,Dolia,85,14,Sicily & Sardinia,,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,Cantine di Dolianova
