id,value,short,last,current,diff
Alabama ,"402,386",AL,51.7,55.1,3.41
Alaska ,"50,701",AK,40.5,38.4,-2.08
Arizona ,"482,044",AZ,51.5,45.2,-6.38
Arkansas ,"291,608",AR,52.9,60.5,7.63
California ,"3,335,885",CA,48.5,54.1,5.53
Colorado ,"336,426",CO,33.1,39.9,6.80
Connecticut ,"190,554",CT,26.5,34.5,7.91
Delaware ,"61,564",DE,36.1,48.0,11.85
Florida ,"1,479,519",FL,45.8,56.0,10.24
Georgia ,"961,954",GA,49.8,57.4,7.62
Hawaii ,"84,106",HI,40.5,46.8,6.31
Idaho ,"124,104",ID,38.1,45.0,6.93
Illinois ,"921,471",IL,39.8,46.7,6.93
Indiana ,"485,728",IN,36.1,46.8,10.67
Iowa ,"188,486",IA,32.1,38.9,6.78
Kansas ,"228,852",KS,38.8,47.7,8.88
Kentucky ,"380,773",KY,52.4,56.6,4.16
Louisiana ,"460,546",LA,61.2,66.2,4.98
Maine ,"78,915",ME,34.8,43.0,8.26
Maryland ,"341,557",MD,31.6,40.1,8.44
Massachusetts ,"326,849",MA,28.2,34.2,5.97
Michigan ,"719,800",MI,35.6,46.4,10.76
Minnesota ,"306,136",MN,30.3,36.5,6.27
Mississippi ,"345,734",MS,69.6,70.6,1.08
Missouri ,"406,358",MO,39.1,45.0,5.90
Montana ,"57,836",MT,35.1,41.2,6.10
Nebraska ,"127,114",NE,34.7,42.6,7.94
Nevada ,"219,904",NV,41.4,50.3,8.92
New Hampshire ,"48,904",NH,17.2,25.2,8.01
New Jersey ,"444,735",NJ,26.8,32.8,5.98
New Mexico ,"227,077",NM,55.7,67.6,11.95
New York ,"1,315,564",NY,44.8,48.3,3.49
North Carolina ,"747,978",NC,44.5,50.3,5.80
North Dakota ,"29,929",ND,29.6,31.7,2.18
Ohio ,"745,121",OH,32.5,42.6,10.10
Oklahoma ,"398,917",OK,54.7,60.5,5.81
Oregon ,"280,174",OR,43.1,50.6,7.48
Pennsylvania ,"686,641",PA,31.7,39.4,7.70
Rhode Island ,"61,127",RI,35.3,42.9,7.59
South Carolina ,"395,033",SC,51.6,54.7,3.08
South Dakota ,"46,718",SD,32.0,37.1,5.10
Tennessee ,"542,953",TN,48.0,55.0,7.02
Texas ,"2,471,212",TX,48.2,50.3,2.04
Utah ,"223,943",UT,32.3,38.2,5.94
Vermont ,"31,339",VT,26.4,36.8,10.43
Virginia ,"458,879",VA,32.3,36.7,4.36
Washington ,"418,065",WA,36.5,40.1,3.61
West Virginia ,"145,605",WV,49.1,51.5,2.35
Wisconsin ,"342,660",WI,29.7,39.3,9.59
Wyoming ,"32,968",WY,31.6,37.1,5.49
District of Columbia ,"52,027",DC,61.7,73.0,11.28
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
